,,,,,,,,
,Program fagdag fredag 16. januar 2026,,,,,,,
,,,,,,,,
,,Spor 1,,,,Spor 2,,
,Tid,Tittel,Beskrivelse,Speaker,Tid,Tittel,Beskrivelse,Speaker
,12:00-12:20,Velkommen til fagdag ✨,,,,,,
,12:20-12:50,Åpningsforedrag,,Håvard Bjurholt,,,,
,12:50-13:00,PAUSE,PAUSE,PAUSE,,,,
,13:00-13:25,Ta kontroll over KI,"Slik gjør vi KI til en produktiv kollega: med konkrete tips, 
vaner og rutiner for trygg og kvalitetsfremmende bruk av KI i teamet, s
om hjelper utviklere, testere og forretning å samarbeide bedre og unngå vanlige fallgruver",Cecilie Haugstvedt,13:00-13:25,Nesten katastrofe på 17. Mai,"Vi i Team Balanse på Statnett er ansvarlige for utregningen av det som er ACE OL - sanntidsubalansen i nettet. Før 17. Mai hadde vi en endring i et bibliotek som resulterte i utilsiktede endringer i utregningen. Ønsker å fortelle litt om hva som skjedde, hvordan vi nesten førte til ingen strøm i husveggene og hva vi har gjort i ettertid for å bygge redundans og validering. Kan tilpasse foredraget etter behov mtp tid. ",Embrik Tvenge Einang
,13:25-13:50,Intro til OAuth 2.0,"En gjennomgang av grunnleggende identitet og tilgangsstyring (IAM) 
med fokus på OAuth – fra forskjellen mellom autentisering og autorisering 
til en grundig forklaring av authorization code flow. 
Som gir utviklere, arkitekter, sikkerhetsfolk og andre et 
lettfattelig startpunkt for et ofte opplevd komplisert tema.",Andreas Berger,13:25-13:50,Seeing Like an Organisation,"Denne presentasjonen fokuserer på å forstå organisasjoner fra et sosiologisk perspektiv. Konsepter som leglibility, system thinking og chaos theory blir brukt til å gjøre et dypdykk i hvordan organisasjoner ender opp med å gjøre de mest absurde ting. ",Emil Ramsvik
,13:50-14:00,PAUSE,PAUSE,PAUSE,13:50-14:00,PAUSE,PAUSE,PAUSE
,14:00-14:15,Skalering og ytelse i skattelistene,Hva er det som gjør det så raskt å søke i skattelistene?,Ann-Sofie Ulle,14:00-14:15,"Hersketeknikker, hva og hvordan","Hva er hersketeknikker, hvordan de brukes i arbeidslivet, og hvordan vi kan gjenkjenne og håndtere dem på en konstruktiv måte. Se på noen eksempler, vanlige situasjoner i jobbhverdagen, og prøve å gi konkrete tips til hvordan man kan stå imot og bidra til en mer respektfull kommunikasjon på arbeidsplassen.  Mål: Øke bevisstheten, styrke trygghet i kommunikasjon og bidra til et inkluderende arbeidsmiljø.",Shomaila Kausar
,14:15-14:30,Hjelp jeg har fått ansvar for infrastruktur,"En personlig erfaring fra å gå fra fullstackutvikler med mest Java-backend og lite kjennskap til Kubernetes og Azure til å få ansvar for hele infrastrukturen i en overgang fra POC til produksjon, med refleksjoner som er relevante for utviklere som stadig oftere får ansvar for infra og CI/CD i tillegg til vanlig koding.",Kim Hilton,14:15-14:30,Hvordan AI endrer måten vi tester på,"Kort om hvordan testingen tradisjonelt har vært, hvordan overgangen til AI nå spiller en rolle mm",Inam Qadir
,14:30-14:45,"Playwright, KI og MCP",En kort gjennomgang om hvordan gjøre Playwright automasjon med KI og MCP.,Sindre Hagen,14:30-14:45,Bias - hvordan hjernen vår lurer oss,"Forskjellige typer bias, hvilke valg vi kan gjøre som både er feil men også at vi tar valg. Hvordan vi unngår noe av det. Hvordan det brukes i markedsføring. Konferer gjerne med Cornelius om denne.",Knut Nymoen
,14:45-15:00,Slik animerte vi sammenkoblinger,"Demo av hva faggruppen for sammenkoblinger har laget. 
Vi snakker litt om valg av teknologi, hvilke kompromisser vi måtte gjøre og hva vi har lyst til å få til videre! ",Linda Andresen og Martin Gunnerud,14:45-15:00,Lag en app på 1-2-3 med Cursor ,,Petr Dreisitl og Vegard Nyeng
,15:00-15:15,PAUSE,PAUSE,PAUSE,15:00-15:15,PAUSE,,
,15:15-15:30,Faggruppe: Kubernetes on Raspberry Pi,Hva faggruppa har vært gjennom og oppnådd,Herman,15:15-15:40,Analyse av brukeratferd,"Analyse av brukeratferd er et sentralt verktøy i å optimalisere viktige metrikker som click through rate eller conversion rate, men mange vet ikke hvor enkelt det er å komme i gang med det. I dette foredraget viser jeg hvilke systemer man trenger, og hvordan man bruker dem i praksis.",Johan Haugland
,15:30-15:40,0 til 100 av Mac Verktøy,Går igjennom forskjellige verktøy får å gjøre arbeidsdagen og hverdagslivet lettere. Presentasjon starter med enkle verktøy og jo lenger ut i presentasjonen jo mer komplekse og nerdete blir verktøyene. ,Emil Ramsvik,,,,
,15:40-16:05,Sikkerhetstesting i 2026,"""Det dukker stadig opp nye verktøy for sikkerhetstesting som fungerer på ulike vis.  For å hjelpe deg navigere i dette landsskapet, forklarer jeg hvilke typer sikkerhetstest som er populære og hva de tester.""",Bendik Tiltnes,15:40-16:05,Fra tegnebrettet til tenkepartner,"Refleksjon rundt hva verdien av designfaget egentlig er, og hvordan dette vil bli i tiden fremover.",Tommy Madsen
,16:05-16:30,Paneldebatt om KI med forfriskninger,"Faggruppen ""Bokklubb"" er vertskap for en panelldebatt om KI",,,,,
,16:30-17:30,Middag ,Buffet fra kantina serveres på kontoret,,,,,
,17:00 - 17:15,Kveldsforedrag: Interaksjonskostnad 💃🕺,"Hjernen vår bruker ca 20 watt energi. 24/7. Energi = Effekt * Tid. 
Med 20W ville treningen til GTP-3 tatt 7000-8000 år. Dette er en tidsmaskin",Benjamin,,,,
,,Legge inn mikael,,,,,,
,,Uttype litt mer om paneldebatt,,,,,,
,,Snakke litt med embrik,,,,,,
